"pptID","fileName","age","gender","nationality","firstLang","highestEdu","condition","videoCond","questionCond","trial","clipName","question","response","answer","RT","answerNum","variance","lowVariance"
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",104,"turnTaking","rightContent",2,"neutral",3044,2,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",105,"turnTaking","leftAngry",0,"stronglyDisagree",3172,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",106,"turnTaking","rightAngry",0,"stronglyDisagree",3172,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",107,"turnTaking","leftAmused",3,"agree",3371,3,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",108,"turnTaking","rightAmused",3,"agree",3371,3,3.06493506493506,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",1,"1PushBothExcited","openBox",NA,NA,30617,NA,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",2,"1PushBothExcited","age",NA,NA,6901,57,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",3,"1PushBothExcited","gettingOnWell",1,"notsure",2278,1,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",4,"1PushBothExcited","relationshipBetweenCharacters",0,"friends",3179,0,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",5,"1PushBothExcited","workingTogether",0,"yes",3697,0,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",6,"1PushBothExcited","leftDominant",1,"disagree",3989,1,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",7,"1PushBothExcited","rightDominant",4,"stronglyAgree",3989,4,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",8,"1PushBothExcited","leftCooperative",2,"neutral",7037,2,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",9,"1PushBothExcited","rightCooperative",0,"stronglyDisagree",7037,0,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",10,"1PushBothExcited","leftCompetitive",1,"disagree",4751,1,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",11,"1PushBothExcited","rightCompetitive",4,"stronglyAgree",4751,4,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",12,"1PushBothExcited","leftFriendly",2,"neutral",4275,2,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",13,"1PushBothExcited","rightFriendly",1,"disagree",4275,1,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",14,"1PushBothExcited","leftAggressive",0,"stronglyDisagree",4824,0,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",15,"1PushBothExcited","rightAggressive",3,"agree",4824,3,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",16,"1PushBothExcited","leftEngaged",4,"stronglyAgree",3381,4,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",17,"1PushBothExcited","rightEngaged",4,"stronglyAgree",3381,4,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",18,"1PushBothExcited","leftFearful",1,"disagree",5343,1,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",19,"1PushBothExcited","rightFearful",0,"stronglyDisagree",5343,0,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",20,"1PushBothExcited","leftSad",3,"agree",3845,3,2.08874458874459,0
118,"/home/madeleine/Projects/PLY001/data/1181514433_data2.csv",23,"male","American","English","BachelorsDegree",2,"skeleton","specific",21,"1PushBothExcited","rightSad",0,"stronglyDisagree",3845,0,2.08874458874459,0
